Date - Time (Philippine Time),Latitude (ºN),Longitude (ºE),Depth (km),Magnitude,Location
03 February 2024 - 05:43 AM,13.6,120.66,90,2.4,018 km N 23° W of Abra De Ilog (Occidental Mindoro)
03 February 2024 - 05:38 AM,8.52,126.53,13,2.3,027 km N 50° E of Hinatuan (Surigao Del Sur)
03 February 2024 - 05:32 AM,8.09,127.05,6,3.4,070 km N 86° E of Lingig (Surigao Del Sur)
03 February 2024 - 05:14 AM,8.12,127.03,1,3.5,069 km N 82° E of Lingig (Surigao Del Sur)
03 February 2024 - 05:06 AM,6.8,125.03,1,2.2,014 km N 71° W of Magsaysay (Davao Del Sur)
03 February 2024 - 05:04 AM,13.14,121.16,63,1.8,013 km S 75° W of Victoria (Oriental Mindoro)
03 February 2024 - 05:04 AM,9.57,122.04,12,2.2,047 km S 85° W of Hinoba-an (Negros Occidental)
03 February 2024 - 04:49 AM,8.1,127.13,2,3.7,080 km N 85° E of Lingig (Surigao Del Sur)
03 February 2024 - 04:45 AM,8.05,126.88,11,2.7,052 km N 89° E of Lingig (Surigao Del Sur)
03 February 2024 - 04:31 AM,8.14,127.07,3,2.7,073 km N 81° E of Lingig (Surigao Del Sur)
03 February 2024 - 04:27 AM,8.02,126.51,32,2.7,011 km S 77° E of Lingig (Surigao Del Sur)
03 February 2024 - 04:19 AM,8.11,127.08,3,4,074 km N 84° E of Lingig (Surigao Del Sur)
03 February 2024 - 04:12 AM,8.08,127.2,1,3.5,087 km N 87° E of Lingig (Surigao Del Sur)
03 February 2024 - 04:12 AM,19.99,121.73,19,1.9,041 km S 22° W of Sabtang (Batanes)
03 February 2024 - 04:12 AM,10.26,124.83,1,2.4,005 km S 64° E of Matalom (Leyte)
03 February 2024 - 03:51 AM,18.67,121.05,43,2.1,008 km N 30° W of Claveria (Cagayan)
03 February 2024 - 03:24 AM,7.55,122.82,29,1.8,004 km S 20° E of Payao (Zamboanga Sibugay)
03 February 2024 - 02:47 AM,13.85,120.51,55,1.5,014 km N 81° W of Calatagan (Batangas)
03 February 2024 - 02:14 AM,15.67,121.7,12,1.8,018 km S 58° E of Baler (Aurora)
03 February 2024 - 02:12 AM,6.87,126.91,58,2.4,054 km S 69° E of Tarragona (Davao Oriental)
03 February 2024 - 01:54 AM,8.29,126.71,15,2.8,042 km S 78° E of Hinatuan (Surigao Del Sur)
03 February 2024 - 01:29 AM,17.21,120.23,15,2.2,023 km N 79° W of City Of Candon (Ilocos Sur)
03 February 2024 - 01:20 AM,8.58,126.48,15,2,028 km N 32° E of Hinatuan (Surigao Del Sur)
03 February 2024 - 01:12 AM,3,126.1,101,3.5,277 km S 16° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
03 February 2024 - 01:10 AM,18.05,121.27,35,2.2,010 km N 70° E of Kabugao (Apayao)
03 February 2024 - 01:01 AM,16.56,121.34,17,3.7,011 km N 44° E of Quezon (Nueva Vizcaya)
03 February 2024 - 01:01 AM,17.95,121.33,35,1.8,011 km N 09° W of Rizal (Cagayan)
03 February 2024 - 12:41 AM,9.84,125.98,34,1.5,004 km S 16° E of Del Carmen (Surigao Del Norte)
03 February 2024 - 12:38 AM,8.83,126.38,25,4.5,010 km N 68° E of Marihatag (Surigao Del Sur)
02 February 2024 - 11:54 PM,8.18,126.94,1,2.6,060 km N 75° E of Lingig (Surigao Del Sur)
02 February 2024 - 11:24 PM,8.77,126.51,27,2.4,024 km S 81° E of Marihatag (Surigao Del Sur)
02 February 2024 - 10:54 PM,15.59,119.84,39,1.5,010 km S 64° W of Candelaria (Zambales)
02 February 2024 - 10:52 PM,10.28,125.94,35,1.4,031 km N 20° W of Santa Monica (Surigao Del Norte)
02 February 2024 - 10:46 PM,8.38,126.66,4,2.2,036 km N 88° E of Hinatuan (Surigao Del Sur)
02 February 2024 - 10:42 PM,6.37,124.85,33,2,010 km S 55° E of Banga (South Cotabato)
02 February 2024 - 10:25 PM,8.59,126.4,32,3.1,025 km S 26° E of Marihatag (Surigao Del Sur)
02 February 2024 - 09:49 PM,7.89,126.07,1,2.3,008 km N 10° E of Monkayo (Davao De Oro)
02 February 2024 - 09:32 PM,5.94,126.6,110,2.5,098 km S 36° E of Governor Generoso (Davao Oriental)
02 February 2024 - 08:47 PM,8.19,126.76,18,2.2,042 km N 68° E of Lingig (Surigao Del Sur)
02 February 2024 - 08:42 PM,15.06,122.12,10,2.1,030 km N 34° E of Burdeos (Quezon)
02 February 2024 - 08:10 PM,8.09,126.98,3,2.9,063 km N 85° E of Lingig (Surigao Del Sur)
02 February 2024 - 08:09 PM,8.07,126.99,9,3,063 km N 87° E of Lingig (Surigao Del Sur)
02 February 2024 - 07:59 PM,8.06,126.04,5,3.3,004 km N 54° W of Trento (Agusan Del Sur)
02 February 2024 - 05:14 PM,8.53,126.98,9,2.5,073 km N 76° E of Hinatuan (Surigao Del Sur)
02 February 2024 - 04:34 PM,18.43,120.78,38,1.9,011 km S 18° W of Dumalneg (Ilocos Norte)
02 February 2024 - 03:12 PM,8.08,127.07,3,3.5,073 km N 86° E of Lingig (Surigao Del Sur)
02 February 2024 - 01:35 PM,7.85,125.98,20,2,009 km N 69° W of Monkayo (Davao De Oro)
02 February 2024 - 01:22 PM,10.39,126.26,7,2.2,046 km N 27° E of Burgos (Surigao Del Norte)
02 February 2024 - 01:04 PM,8.72,127.08,19,2.7,087 km S 84° E of Marihatag (Surigao Del Sur)
02 February 2024 - 01:01 PM,8.05,126.95,19,2.4,059 km N 89° E of Lingig (Surigao Del Sur)
02 February 2024 - 01:00 PM,8.07,126.95,21,2.4,059 km N 87° E of Lingig (Surigao Del Sur)
02 February 2024 - 12:45 PM,8.13,126.9,11,2.3,055 km N 79° E of Lingig (Surigao Del Sur)
02 February 2024 - 12:27 PM,18.21,120.55,24,2.4,005 km N 69° W of City Of Laoag (Ilocos Norte)
02 February 2024 - 11:59 AM,8.27,126.53,35,1.8,024 km S 63° E of Hinatuan (Surigao Del Sur)
02 February 2024 - 10:59 AM,8.1,126.88,9,2,052 km N 82° E of Lingig (Surigao Del Sur)
02 February 2024 - 10:03 AM,8.27,126.89,3,2.6,058 km N 64° E of Lingig (Surigao Del Sur)
02 February 2024 - 08:28 AM,8.88,125.48,26,1.5,013 km S 37° E of Buenavista (Agusan Del Norte)
02 February 2024 - 08:18 AM,8.5,126.27,30,1.6,012 km N 69° E of Tagbina (Surigao Del Sur)
02 February 2024 - 07:30 AM,9.72,121.98,8,3.4,049 km S 84° W of City Of Sipalay (Negros Occidental)
02 February 2024 - 06:32 AM,8.09,126.84,6,2.2,048 km N 84° E of Lingig (Surigao Del Sur)
02 February 2024 - 06:28 AM,8.14,126.91,12,1.8,056 km N 78° E of Lingig (Surigao Del Sur)
02 February 2024 - 06:25 AM,13.52,120.76,7,2.4,009 km N 27° E of Abra De Ilog (Occidental Mindoro)
02 February 2024 - 06:17 AM,8.12,126.74,10,2.1,037 km N 76° E of Lingig (Surigao Del Sur)
02 February 2024 - 06:16 AM,8.26,126.78,1,1.4,047 km N 58° E of Lingig (Surigao Del Sur)
02 February 2024 - 06:15 AM,8.74,126.31,26,1.9,006 km S 16° E of Marihatag (Surigao Del Sur)
02 February 2024 - 06:07 AM,8.74,126.66,10,2.3,041 km S 81° E of Marihatag (Surigao Del Sur)
02 February 2024 - 05:58 AM,8.12,127.04,12,2.3,070 km N 83° E of Lingig (Surigao Del Sur)
02 February 2024 - 05:54 AM,8.33,126.42,32,2,010 km S 64° E of Hinatuan (Surigao Del Sur)
02 February 2024 - 05:54 AM,8.07,127.08,10,1.4,073 km N 87° E of Lingig (Surigao Del Sur)
02 February 2024 - 05:35 AM,8.18,127.18,1,5.3,086 km N 79° E of Lingig (Surigao Del Sur)
02 February 2024 - 05:03 AM,7.78,124.06,12,2.2,003 km N 66° W of Pagayawan (Lanao Del Sur)
02 February 2024 - 04:51 AM,8.28,126.49,29,1.8,020 km S 60° E of Hinatuan (Surigao Del Sur)
02 February 2024 - 04:27 AM,8.46,126.46,23,2,017 km N 53° E of Hinatuan (Surigao Del Sur)
02 February 2024 - 03:35 AM,10.41,121.91,29,2.8,003 km S 45° W of Anini-y (Antique)
02 February 2024 - 03:33 AM,8.48,126.88,1,3.3,062 km N 77° E of Hinatuan (Surigao Del Sur)
02 February 2024 - 03:12 AM,9.23,125.96,1,1.5,003 km S 14° W of Madrid (Surigao Del Sur)
02 February 2024 - 03:09 AM,5.82,125.46,15,1.4,023 km S 64° W of Jose Abad Santos (Davao Occidental)
02 February 2024 - 02:48 AM,8.66,127.29,20,2.8,110 km N 73° E of Hinatuan (Surigao Del Sur)
02 February 2024 - 02:46 AM,8.15,127.01,3,3.2,073 km N 57° E of Cateel (Davao Oriental)
02 February 2024 - 02:12 AM,15.06,119.71,38,1.7,038 km S 73° W of Cabangan (Zambales)
02 February 2024 - 01:45 AM,5.25,126.21,131,3,086 km S 73° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
02 February 2024 - 01:08 AM,10.57,122.44,11,2.7,013 km S 33° E of Tigbauan (Iloilo)
02 February 2024 - 01:04 AM,10.55,122.43,16,2.8,012 km N 77° W of Nueva Valencia (Guimaras)
02 February 2024 - 12:14 AM,10.18,124.93,2,2.4,009 km N 75° W of Malitbog (Southern Leyte)
01 February 2024 - 10:39 PM,8.73,126.62,9,3.4,036 km S 78° E of Marihatag (Surigao Del Sur)
01 February 2024 - 10:35 PM,18.3,120.53,34,1.6,010 km N 55° W of Bacarra (Ilocos Norte)
01 February 2024 - 09:39 PM,12.32,126.25,17,2.4,083 km N 79° E of San Policarpo (Eastern Samar)
01 February 2024 - 09:29 PM,8.37,123.39,10,2.4,015 km N 59° W of Sergio Osmeña Sr. (Zamboanga Del Norte)
01 February 2024 - 09:24 PM,4.59,126.21,96,4,126 km S 44° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
01 February 2024 - 08:32 PM,13.4,121.75,8,2.3,012 km S 63° W of Boac (Marinduque)
01 February 2024 - 08:31 PM,18.76,120.41,62,1.4,037 km N 42° W of Burgos (Ilocos Norte)
01 February 2024 - 08:23 PM,13.41,121.78,18,2,007 km S 61° W of Boac (Marinduque)
01 February 2024 - 08:19 PM,18.76,120.73,13,2,023 km N 14° W of Pagudpud (Ilocos Norte)
01 February 2024 - 08:03 PM,8.37,126.61,16,2.5,030 km N 89° E of Hinatuan (Surigao Del Sur)
01 February 2024 - 07:46 PM,9.04,126.47,2,2.6,023 km N 55° E of Cagwait (Surigao Del Sur)
01 February 2024 - 07:41 PM,8.75,126.83,3,2.2,059 km S 85° E of Marihatag (Surigao Del Sur)
01 February 2024 - 07:23 PM,9.79,125.67,18,3,013 km N 43° E of Taganaan (Surigao Del Norte)
01 February 2024 - 06:27 PM,8.24,126.48,32,2.2,021 km S 47° E of Hinatuan (Surigao Del Sur)
01 February 2024 - 04:56 PM,8.63,126.83,1,1.8,061 km N 62° E of Hinatuan (Surigao Del Sur)
01 February 2024 - 02:15 PM,10.16,125.24,31,1.6,012 km S 07° W of Anahawan (Southern Leyte)
01 February 2024 - 02:07 PM,17.86,120.81,3,2.3,016 km N 03° W of Tineg (Abra)
01 February 2024 - 02:03 PM,7.98,126.34,24,1.8,010 km S 50° W of Lingig (Surigao Del Sur)
01 February 2024 - 11:32 AM,13.9,120.5,61,1.5,016 km N 61° W of Calatagan (Batangas)
01 February 2024 - 11:29 AM,14.47,122.17,1,2.3,016 km N 69° E of Balesin Island (Polillo) (Quezon)
01 February 2024 - 09:02 AM,9.53,126.02,33,1.4,012 km S 31° E of Socorro (Surigao Del Norte)
01 February 2024 - 08:43 AM,8.77,126.63,6,2.3,040 km S 66° E of Cagwait (Surigao Del Sur)
01 February 2024 - 06:17 AM,8.47,126.85,1,2.9,057 km N 79° E of Hinatuan (Surigao Del Sur)
01 February 2024 - 06:00 AM,18.52,120.83,3,2.3,002 km N 83° E of Dumalneg (Ilocos Norte)
01 February 2024 - 05:58 AM,8.4,126.47,20,2.8,015 km N 75° E of Hinatuan (Surigao Del Sur)
01 February 2024 - 05:51 AM,13.49,120.43,48,1.9,009 km N 24° W of Paluan (Occidental Mindoro)
01 February 2024 - 05:35 AM,9.04,126.17,34,1.6,004 km S 10° W of City Of Tandag (Surigao Del Sur)
01 February 2024 - 05:34 AM,8.85,127.29,19,1.5,109 km S 86° E of Cagwait (Surigao Del Sur)
01 February 2024 - 05:32 AM,9.18,126.22,14,1.6,011 km S 17° E of Cortes (Surigao Del Sur)
01 February 2024 - 05:29 AM,8.87,127.15,2,3.7,093 km S 87° E of Cagwait (Surigao Del Sur)
01 February 2024 - 05:12 AM,8.69,125.93,11,2.3,011 km N 08° E of Prosperidad (Agusan Del Sur)
01 February 2024 - 04:46 AM,13.54,120.64,7,4.9,014 km N 42° W of Abra De Ilog (Occidental Mindoro)
01 February 2024 - 04:34 AM,7.85,124.68,1,2.7,015 km N 32° W of Kalilangan (Bukidnon)
01 February 2024 - 04:29 AM,9.06,126.49,5,1.6,025 km N 66° E of Bayabas (Surigao Del Sur)
01 February 2024 - 04:16 AM,3.77,125.96,7,2.8,191 km S 18° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
01 February 2024 - 03:18 AM,14.75,119.98,31,2,024 km S 28° W of San Antonio (Zambales)
01 February 2024 - 03:14 AM,6.83,127.4,28,2.9,104 km S 66° E of Manay (Davao Oriental)
01 February 2024 - 03:08 AM,16.34,120.88,11,2.5,002 km S 19° W of Kayapa (Nueva Vizcaya)
01 February 2024 - 02:41 AM,4.49,126.11,9,2.5,127 km S 37° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
01 February 2024 - 02:31 AM,3.58,126.34,37,4,226 km S 27° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
01 February 2024 - 02:13 AM,8.61,127.01,2,2.7,079 km N 70° E of Hinatuan (Surigao Del Sur)
01 February 2024 - 02:00 AM,16.38,120.89,3,3.7,003 km N 13° E of Kayapa (Nueva Vizcaya)
01 February 2024 - 01:51 AM,16.33,120.86,14,2.6,004 km S 37° W of Kayapa (Nueva Vizcaya)
01 February 2024 - 12:13 AM,5.08,126.99,2,3.9,175 km S 59° E of Jose Abad Santos (Davao Occidental)
31 January 2024 - 11:04 PM,8.86,127.36,4,2.4,117 km S 87° E of Cagwait (Surigao Del Sur)
31 January 2024 - 10:15 PM,14.69,123.34,11,2.1,048 km N 60° E of Tinaga Island (Vinzons) (Camarines Norte)
31 January 2024 - 10:00 PM,5.46,125.58,35,2,012 km S 82° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
31 January 2024 - 09:34 PM,12.45,120.85,7,1.9,012 km S 87° W of Rizal (Occidental Mindoro)
31 January 2024 - 09:23 PM,18.53,120.91,10,1.8,007 km N 09° E of Adams (Ilocos Norte)
31 January 2024 - 08:54 PM,6.24,125.48,29,1.6,024 km S 38° W of Malita (Davao Occidental)
31 January 2024 - 08:44 PM,9.01,126.22,33,1.8,002 km S 63° W of Tago (Surigao Del Sur)
31 January 2024 - 08:33 PM,15.05,119.97,14,2.4,011 km S 83° W of San Felipe (Zambales)
31 January 2024 - 07:53 PM,8.23,126.85,1,2.2,053 km N 66° E of Lingig (Surigao Del Sur)
31 January 2024 - 07:33 PM,9.55,125.99,31,2.8,008 km S 16° E of Socorro (Surigao Del Norte)
31 January 2024 - 07:20 PM,8.76,126.44,6,3,024 km S 42° E of Cagwait (Surigao Del Sur)
31 January 2024 - 06:37 PM,9.97,123.03,18,1.8,018 km S 87° W of Jimalalud (Negros Oriental)
31 January 2024 - 06:08 PM,15.15,123.83,33,2.9,120 km N 52° E of Tinaga Island (Vinzons) (Camarines Norte)
31 January 2024 - 04:24 PM,14.01,120.56,104,1.6,011 km S 76° W of Lian (Batangas)
31 January 2024 - 04:07 PM,8.4,126.63,15,2.7,032 km N 84° E of Hinatuan (Surigao Del Sur)
31 January 2024 - 03:45 PM,12.37,120.83,24,2.3,018 km S 55° W of Rizal (Occidental Mindoro)
31 January 2024 - 03:43 PM,8.38,126.48,26,2.4,016 km N 86° E of Hinatuan (Surigao Del Sur)
31 January 2024 - 03:32 PM,5.49,126.54,16,3.1,110 km S 65° E of Jose Abad Santos (Davao Occidental)
31 January 2024 - 02:58 PM,9.78,122.16,8,3.1,029 km N 87° W of City Of Sipalay (Negros Occidental)
31 January 2024 - 02:42 PM,6.16,126.53,40,2.2,075 km S 43° E of Governor Generoso (Davao Oriental)
31 January 2024 - 02:27 PM,5.28,126.58,34,2.8,124 km S 56° E of Jose Abad Santos (Davao Occidental)
31 January 2024 - 02:22 PM,8.44,126.77,1,2.4,048 km N 80° E of Hinatuan (Surigao Del Sur)
31 January 2024 - 02:06 PM,17.39,120.21,21,3.1,025 km S 47° W of Caoayan (Ilocos Sur)
31 January 2024 - 12:44 PM,13.81,120.46,72,2.9,019 km S 81° W of Calatagan (Batangas)
31 January 2024 - 11:21 AM,6.44,126.81,36,2.3,078 km S 31° E of Tarragona (Davao Oriental)
31 January 2024 - 10:14 AM,9.06,125.69,27,1.4,011 km N 84° E of Remedios T. Romualdez (Agusan Del Norte)
31 January 2024 - 09:54 AM,10.2,124.71,11,2.3,012 km S 39° W of Matalom (Leyte)
31 January 2024 - 09:36 AM,8.6,126.26,33,1.4,016 km S 15° E of San Agustin (Surigao Del Sur)
31 January 2024 - 06:32 AM,8.11,126.85,9,2.5,049 km N 81° E of Lingig (Surigao Del Sur)
31 January 2024 - 06:25 AM,8.65,126.47,27,2,024 km S 49° E of Marihatag (Surigao Del Sur)
31 January 2024 - 05:35 AM,6.42,126.31,39,2.6,037 km S 45° E of Governor Generoso (Davao Oriental)
31 January 2024 - 05:23 AM,15.02,119.69,11,3.9,041 km S 84° W of San Felipe (Zambales)
31 January 2024 - 04:40 AM,18.88,121.14,20,2.4,025 km N 83° W of Fuga Island (Aparri) (Cagayan)
31 January 2024 - 03:56 AM,13.93,120.48,46,1.6,020 km N 57° W of Calatagan (Batangas)
31 January 2024 - 03:44 AM,19.92,121.71,30,2.4,049 km S 20° W of Sabtang (Batanes)
31 January 2024 - 01:15 AM,8.3,126.51,33,1.8,020 km S 70° E of Hinatuan (Surigao Del Sur)
31 January 2024 - 12:17 AM,8.58,127.49,33,3.1,129 km N 79° E of Hinatuan (Surigao Del Sur)
31 January 2024 - 12:12 AM,8.29,127.1,21,3.8,080 km N 70° E of Lingig (Surigao Del Sur)
30 January 2024 - 11:55 PM,8.22,126.69,12,3.4,036 km N 57° E of Lingig (Surigao Del Sur)
30 January 2024 - 11:09 PM,8.12,125.14,3,1.3,002 km S 69° E of City Of Malaybalay (Bukidnon)
30 January 2024 - 11:08 PM,10.33,126.03,7,2.9,035 km N 01° W of Santa Monica (Surigao Del Norte)
30 January 2024 - 11:04 PM,8.22,125.17,2,2.6,011 km N 23° E of City Of Malaybalay (Bukidnon)
30 January 2024 - 10:14 PM,10.03,126.14,13,3.1,008 km N 82° E of Burgos (Surigao Del Norte)
30 January 2024 - 09:37 PM,8.45,126.67,23,2.3,037 km N 77° E of Hinatuan (Surigao Del Sur)
30 January 2024 - 08:53 PM,17.83,120.59,20,1.9,012 km S 38° W of Nueva Era (Ilocos Norte)
30 January 2024 - 08:47 PM,19.25,121.08,34,2,020 km N 40° W of Dalupiri Island (Calayan) (Cagayan)
30 January 2024 - 08:02 PM,8.34,126.64,18,2.2,033 km S 85° E of Hinatuan (Surigao Del Sur)
30 January 2024 - 07:12 PM,6.01,125.57,28,1.8,025 km S 33° W of Don Marcelino (Davao Occidental)
30 January 2024 - 06:22 PM,8.87,127.15,1,2.7,094 km S 87° E of Cagwait (Surigao Del Sur)
30 January 2024 - 04:42 PM,8.82,127.11,1,3.5,090 km N 89° E of Marihatag (Surigao Del Sur)
30 January 2024 - 03:47 PM,8.64,127.53,14,3,135 km N 77° E of Hinatuan (Surigao Del Sur)
30 January 2024 - 02:47 PM,8.87,127.05,1,4.3,082 km S 86° E of Cagwait (Surigao Del Sur)
30 January 2024 - 01:37 PM,9.19,126.97,8,2.4,079 km N 72° E of Bayabas (Surigao Del Sur)
30 January 2024 - 12:30 PM,5.02,127.02,140,3.2,179 km S 74° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
30 January 2024 - 12:16 PM,18.25,120.81,29,2,012 km N 06° W of Carasi (Ilocos Norte)
30 January 2024 - 11:19 AM,5.52,125.11,20,2.6,035 km S 18° W of Glan (Sarangani)
30 January 2024 - 10:21 AM,13.75,120.38,1,2.1,015 km N 78° E of Looc (Occidental Mindoro)
30 January 2024 - 06:39 AM,10.25,125.93,35,2,028 km N 26° W of Santa Monica (Surigao Del Norte)
30 January 2024 - 05:05 AM,8.45,126.56,16,2.3,026 km N 69° E of Hinatuan (Surigao Del Sur)
30 January 2024 - 04:54 AM,14.22,119.32,19,3.2,096 km N 65° W of Lubang (Occidental Mindoro)
30 January 2024 - 03:47 AM,9.42,122.58,26,1.3,006 km N 74° W of Basay (Negros Oriental)
30 January 2024 - 02:09 AM,5.92,124.73,34,1.7,015 km S 56° E of Kiamba (Sarangani)
30 January 2024 - 02:08 AM,10.31,126,36,2,033 km N 08° W of Santa Monica (Surigao Del Norte)
30 January 2024 - 12:48 AM,4.54,126.11,8,3,123 km S 38° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
30 January 2024 - 12:34 AM,15.65,120.01,25,2.1,009 km N 75° E of Candelaria (Zambales)
29 January 2024 - 10:57 PM,6.5,124.51,30,1.7,007 km S 58° W of Bagumbayan (Sultan Kudarat)
29 January 2024 - 10:24 PM,12.76,124.07,5,3.1,007 km N 77° W of Bulusan (Sorsogon)
29 January 2024 - 10:24 PM,4.23,124.66,328,3.6,155 km S 33° W of Balut Island (Municipality Of Sarangani) (Davao Occidental)
29 January 2024 - 09:53 PM,3.92,121.98,126,3,217 km S 50° E of South Ubian (Tawi-tawi)
29 January 2024 - 09:52 PM,18.73,120.73,31,1.5,020 km N 17° W of Pagudpud (Ilocos Norte)
29 January 2024 - 08:53 PM,14.84,121.22,4,1.5,014 km N 33° E of Rodriguez (Rizal)
29 January 2024 - 04:22 PM,8.37,126.5,17,2.6,018 km N 88° E of Hinatuan (Surigao Del Sur)
29 January 2024 - 03:37 PM,8.62,127.58,13,5.1,140 km N 78° E of Hinatuan (Surigao Del Sur)
29 January 2024 - 03:26 PM,9.14,126.34,23,3.3,018 km N 41° E of Tago (Surigao Del Sur)
29 January 2024 - 02:29 PM,17.5,121.33,28,2.4,015 km N 80° W of City Of Tabuk (Kalinga)
29 January 2024 - 02:12 PM,7.76,125.7,26,2.6,003 km N 56° W of San Isidro (Davao Del Norte)
29 January 2024 - 01:34 PM,8.41,126.3,33,1.7,006 km N 42° W of Hinatuan (Surigao Del Sur)
29 January 2024 - 01:27 PM,8.81,126.39,27,2.3,010 km N 86° E of Marihatag (Surigao Del Sur)
29 January 2024 - 12:59 PM,9.73,125.98,31,1.8,009 km S 71° W of Dapa (Surigao Del Norte)
29 January 2024 - 12:49 PM,9.35,126.24,33,1.9,010 km N 33° E of Cortes (Surigao Del Sur)
29 January 2024 - 12:48 PM,8.53,126.6,13,2.7,034 km N 57° E of Hinatuan (Surigao Del Sur)
29 January 2024 - 12:33 PM,13.69,120.54,40,1.5,018 km S 33° W of Calatagan (Batangas)
29 January 2024 - 12:06 PM,3.65,125.83,137,3.5,200 km S 13° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
29 January 2024 - 11:06 AM,8.36,127.08,27,2.1,081 km S 89° E of Hinatuan (Surigao Del Sur)
29 January 2024 - 11:02 AM,8.4,126.37,34,1.8,005 km N 48° E of Hinatuan (Surigao Del Sur)
29 January 2024 - 10:54 AM,8.52,126.71,14,2.1,045 km N 67° E of Hinatuan (Surigao Del Sur)
29 January 2024 - 10:44 AM,8.13,125.77,33,1.5,011 km S 60° W of Loreto (Agusan Del Sur)
29 January 2024 - 09:06 AM,10.14,126.11,24,2.2,014 km N 18° E of Burgos (Surigao Del Norte)
29 January 2024 - 09:05 AM,14.84,121.97,27,1.8,001 km S 44° E of Burdeos (Quezon)
29 January 2024 - 07:34 AM,10.27,126.19,33,1.4,031 km N 24° E of Burgos (Surigao Del Norte)
29 January 2024 - 06:40 AM,9.61,126.06,22,2.4,010 km S 86° E of Socorro (Surigao Del Norte)
29 January 2024 - 05:32 AM,6.05,126.14,121,2.1,053 km S 71° E of Don Marcelino (Davao Occidental)
29 January 2024 - 04:21 AM,6.87,125.01,6,2.2,013 km S 44° W of Makilala (Cotabato)
29 January 2024 - 04:07 AM,8.52,126.76,28,1.7,049 km N 70° E of Hinatuan (Surigao Del Sur)
29 January 2024 - 03:59 AM,5.62,124.66,33,2.2,041 km S 06° E of Kiamba (Sarangani)
29 January 2024 - 03:52 AM,9.6,126.24,21,2.9,023 km S 25° E of General Luna (Surigao Del Norte)
29 January 2024 - 03:45 AM,18.28,120.48,20,2.4,014 km N 78° W of Bacarra (Ilocos Norte)
29 January 2024 - 03:28 AM,9.11,126.37,3,1.7,018 km N 33° E of Bayabas (Surigao Del Sur)
29 January 2024 - 03:19 AM,8.36,126.9,4,2.3,062 km S 89° E of Hinatuan (Surigao Del Sur)
29 January 2024 - 02:58 AM,18.14,120.82,16,2.1,000 km S 13° W of Carasi (Ilocos Norte)
29 January 2024 - 02:39 AM,5.77,126.33,25,2.2,077 km S 79° E of Jose Abad Santos (Davao Occidental)
29 January 2024 - 02:23 AM,4.95,128.39,33,3.7,316 km S 43° E of Tarragona (Davao Oriental)
29 January 2024 - 02:17 AM,11.26,124.61,8,2.9,005 km S 39° W of Capoocan (Leyte)
29 January 2024 - 01:58 AM,8.4,126.83,12,2.4,054 km N 86° E of Hinatuan (Surigao Del Sur)
29 January 2024 - 01:54 AM,9.18,126.47,1,2.6,031 km N 42° E of Bayabas (Surigao Del Sur)
29 January 2024 - 01:49 AM,13.38,121.77,9,1.8,010 km N 56° W of Gasan (Marinduque)
29 January 2024 - 12:48 AM,4.82,126.31,65,2.5,118 km S 52° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
29 January 2024 - 12:22 AM,19.98,121.17,4,2.8,084 km S 62° W of Sabtang (Batanes)
29 January 2024 - 12:15 AM,14.23,119.72,1,1.9,060 km N 46° W of Lubang (Occidental Mindoro)
28 January 2024 - 11:26 PM,4.67,126.2,70,2.5,119 km S 46° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
28 January 2024 - 11:05 PM,8.38,126.88,1,3.5,060 km N 89° E of Hinatuan (Surigao Del Sur)
28 January 2024 - 11:02 PM,8.44,126.3,27,1.7,010 km N 27° W of Hinatuan (Surigao Del Sur)
28 January 2024 - 10:44 PM,13.78,120.57,96,1.5,009 km S 50° W of Calatagan (Batangas)
28 January 2024 - 10:19 PM,5.74,126.49,57,3.3,095 km S 79° E of Jose Abad Santos (Davao Occidental)
28 January 2024 - 09:57 PM,6.06,124.45,25,2.1,005 km West of Maitum (Sarangani)
28 January 2024 - 09:08 PM,5.49,126.73,15,3.1,129 km S 69° E of Jose Abad Santos (Davao Occidental)
28 January 2024 - 08:54 PM,9.01,126.42,19,3.1,016 km N 53° E of Cagwait (Surigao Del Sur)
28 January 2024 - 08:26 PM,5.84,125.7,102,2.4,010 km S 40° E of Jose Abad Santos (Davao Occidental)
28 January 2024 - 08:04 PM,8.29,125.97,20,2,010 km S 17° W of Rosario (Agusan Del Sur)
28 January 2024 - 07:34 PM,5.19,126.39,1,3.1,106 km S 73° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
28 January 2024 - 06:52 PM,15.85,120.17,36,1.5,009 km S 58° W of Aguilar (Pangasinan)
28 January 2024 - 06:47 PM,8.41,126.78,11,2.4,049 km N 84° E of Hinatuan (Surigao Del Sur)
