Date - Time (Philippine Time),Latitude (ºN),Longitude (ºE),Depth (km),Magnitude,Location
24 May 2024 - 09:55 PM,7.92,126.89,33,2.1,050 km N 73° E of Cateel (Davao Oriental)
24 May 2024 - 09:25 PM,10.15,125.36,17,2,018 km S 38° E of Anahawan (Southern Leyte)
24 May 2024 - 07:43 PM,5.5,125.04,30,3.3,039 km S 27° W of Glan (Sarangani)
24 May 2024 - 07:41 PM,9.34,126.24,13,1.8,008 km N 38° E of Cortes (Surigao Del Sur)
24 May 2024 - 06:35 PM,6.11,125.46,34,1.5,018 km N 89° E of Alabel (Sarangani)
24 May 2024 - 06:07 PM,6.01,126.45,47,2.9,082 km S 31° E of Governor Generoso (Davao Oriental)
24 May 2024 - 04:51 PM,13.68,120.59,120,3.4,018 km S 13° W of Calatagan (Batangas)
24 May 2024 - 04:14 PM,5.85,125.81,105,2.5,020 km S 69° E of Jose Abad Santos (Davao Occidental)
24 May 2024 - 02:42 PM,13.58,120.62,115,2.2,019 km N 38° W of Abra De Ilog (Occidental Mindoro)
24 May 2024 - 01:20 PM,15.31,120.01,18,2.1,009 km S 87° E of Iba (Zambales)
24 May 2024 - 12:38 PM,7.61,122.81,8,2.9,003 km N 25° E of Payao (Zamboanga Sibugay)
24 May 2024 - 12:23 PM,8.65,126.54,8,2.5,031 km S 59° E of Marihatag (Surigao Del Sur)
24 May 2024 - 11:32 AM,6.6,125.26,9,2.5,003 km South of Kiblawan (Davao Del Sur)
24 May 2024 - 10:33 AM,17,121.04,32,1.5,008 km S 57° W of Barlig (Mountain Province)
24 May 2024 - 10:10 AM,8.77,126.38,24,2.4,009 km S 68° E of Marihatag (Surigao Del Sur)
24 May 2024 - 09:51 AM,5.62,125.81,97,1.8,037 km S 30° E of Jose Abad Santos (Davao Occidental)
24 May 2024 - 07:43 AM,6.45,126.32,51,3,036 km S 50° E of Governor Generoso (Davao Oriental)
24 May 2024 - 07:24 AM,6.16,125.76,114,3,008 km S 62° E of Don Marcelino (Davao Occidental)
24 May 2024 - 06:42 AM,16.54,120.81,7,2.5,006 km N 20° W of Bokod (Benguet)
24 May 2024 - 05:31 AM,11.64,124.33,11,2.5,005 km N 68° W of Almeria (Biliran)
24 May 2024 - 04:43 AM,3.3,126.32,38,3.3,254 km S 23° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
24 May 2024 - 04:22 AM,9.11,126.92,8,2.8,071 km N 73° E of Cagwait (Surigao Del Sur)
